Introduction,Quarters,HouseType,Area,PeopleNumber,WatchNumber,ReleaseTime,TotalPrice,Price,Dist,Lotitude
户型方方正正 满五年就一套 视野开阔直观汇文中学,保利蔷薇 , 2室2厅 ,88.63,58.0,27.0, 19天以前发布,960.0,108316.0,东城,"116.442531,39.89667"
禾风相府 南北通透 三居室 前后花园 人车分流,禾风相府 , 3室2厅 ,163.83,247.0,115.0, 6个月以前发布,1801.0,109932.0,东城,"116.428303,39.929284"
金鱼池南北通透大复式 正对花园、视野好 诚心出售,金鱼池中区 , 4室2厅 ,135.91,166.0,54.0, 1个月以前发布,950.0,69900.0,东城,"116.415431,39.896044"
天娇园商品房 朝东2居 对小区花园 拎包入住,天娇园 , 2室2厅 ,91.48,61.0,41.0, 27天以前发布,850.0,92917.0,东城,"116.445751,39.903761"
南北通透三居室 和平里一小 中间楼层 满五年,和平里三区 , 2室1厅 ,71.92,39.0,51.0, 23天以前发布,800.0,111235.0,东城,"116.427002,39.962219"
六铺炕 3室1厅 810万,六铺炕 , 3室1厅 ,72.84,72.0,59.0, 22天以前发布,810.0,111203.0,东城,"116.400533,39.962226"
划片花市小学 满五年无个税 正规一居  随时可看,东花市北里中区 , 1室1厅 ,48.72,39.0,28.0, 30天以前发布,450.0,92365.0,东城,"116.439746,39.905443"
南岗子南北小两居 精装修 无抵押 无贷款 卖房变现,南岗子 , 2室1厅 ,57.87,51.0,33.0, 17天以前发布,535.0,92449.0,东城,"116.434155,39.893704"
满五年业主名下仅有的一套商品房   产权清晰无抵押,富莱茵花园 , 2室1厅 ,64.16,99.0,30.0, 14天以前发布,435.0,67800.0,东城,"116.414452,39.866869"
把角全凸三居室 双卧室朝南 户型方正无浪费 有储藏间,安化北里 , 3室1厅 ,80.34,169.0,83.0, 1个月以前发布,730.0,90864.0,东城,"116.441608,39.898639"
东城区 09年新小区 正规两居室 业主诚心出售,华龙美晟 , 2室1厅 ,78.79,345.0,108.0, 3个月以前发布,518.0,65745.0,东城,"116.411858,39.869364"
满五年住宅 没有个税 可改三居室,海晟名苑 , 2室1厅 ,140.53,36.0,76.0, 1个月以前发布,1550.0,110297.0,东城,"116.447783,39.94387"
沙子口路70号 2室1厅 450万,沙子口路70号 , 2室1厅 ,58.83,77.0,46.0, 1个月以前发布,450.0,76492.0,东城,"116.412689,39.867798"
协和医院 灯市口近 166中学 带电梯,小羊宜宾胡同 , 2室1厅 ,61.77,114.0,119.0, 2个月以前发布,650.0,105230.0,东城,"116.437281,39.918733"
东城区 满五年 交通便利 南北通透 诚心出售,西革新里110号院 , 2室1厅 ,61.4,333.0,76.0, 3个月以前发布,400.0,65147.0,东城,"116.396844,39.872512"
小羊宜宾胡同 4室1厅 910万,小羊宜宾胡同 , 4室1厅 ,93.81,73.0,61.0, 1个月以前发布,910.0,97005.0,东城,"116.437281,39.918733"
东城 东直门外三居  公房满五年 有钥匙,东直门外斜街 , 3室1厅 ,65.42,175.0,46.0, 1个月以前发布,520.0,79487.0,东城,"116.446972,39.950006"
南北两居室，板厂小学   看房随时   带车位,夕照寺西里 , 2室1厅 ,54.19,194.0,61.0, 3个月以前发布,520.0,95959.0,东城,"116.446244,39.897173"
都市馨园三居室    南北通透    商品房  前后不临街,兴隆都市馨园 , 3室2厅 ,130.7,315.0,63.0, 4个月以前发布,980.0,74981.0,东城,"116.420099,39.901616"
什锦花园 精装南北通透两居室 明厨明卫 户型好 视野好,什锦花园胡同21号院 , 2室1厅 ,48.0,75.0,55.0, 1个月以前发布,650.0,135417.0,东城,"116.421058,39.93627"
水上华城东西通透全明格局观景两居阳台不算面积,水上华城 , 2室2厅 ,113.0,24.0,24.0, 27天以前发布,1160.0,102655.0,东城,"116.448783,39.894213"
崇文小学新景家园东西通透三居诚意出售,新景家园东区 , 3室1厅 ,92.28,55.0,28.0, 23天以前发布,960.0,104032.0,东城,"116.432142,39.902354"
天天家园 2室1厅 939万,天天家园 , 2室1厅 ,125.02,326.0,115.0, 4个月以前发布,939.0,75108.0,东城,"116.411885,39.87098"
东北两居，整个国瑞城仅有14套，有钥匙随时看房。,国瑞城中区 , 2室2厅 ,91.13,12.0,20.0, 12天以前发布,900.0,98761.0,东城,"116.429352,39.904538"
什锦花园胡同21号院 1室0厅 460万,什锦花园胡同21号院 , 1室0厅 ,34.6,50.0,26.0, 11天以前发布,460.0,132948.0,东城,"116.421058,39.93627"
满五年家庭就此一套房产 电梯房管理好 单独管理,上龙西里 , 3室1厅 ,80.37,42.0,33.0, 7天以前发布,750.0,93319.0,东城,"116.412788,39.958761"
安定门  朝西向大两居室  楼龄新  满五年,西营房 , 2室1厅 ,85.1,257.0,90.0, 4个月以前发布,730.0,85782.0,东城,"116.409688,39.958188"
满五年家庭名下只有一套住房，有电梯,东直门内北小街16号 , 2室2厅 ,89.74,50.0,19.0, 25天以前发布,860.0,95833.0,东城,"116.432396,39.951803"
花市枣苑商品房独立封闭小区带大型花园全南两居室,花市枣苑二期 , 2室1厅 ,115.0,30.0,54.0, 2个月以前发布,1190.0,103479.0,东城,"116.435751,39.902151"
商品一居 正对花园 采光充足 视野开阔 业主诚售,新景家园东区 , 1室1厅 ,59.5,70.0,56.0, 1个月以前发布,660.0,110925.0,东城,"116.432142,39.902354"
花市枣苑二期两居两卫，满五年无个税，有钥匙,花市枣苑二期 , 2室1厅 ,121.87,6.0,22.0, 2个月以前发布,1100.0,90261.0,东城,"116.435751,39.902151"
朝阳门内大街 2室1厅 560万,朝阳门内大街 , 2室1厅 ,69.33,79.0,29.0, 1个月以前发布,560.0,80774.0,东城,"116.435758,39.930641"
安定门 04年商品房 满五年唯壹 有钥匙 业主诚售,中景濠庭 , 1室1厅 ,74.21,38.0,87.0, 1个月以前发布,630.0,84895.0,东城,"116.405688,39.957686"
东花市北里西区 1室1厅 455万,东花市北里西区 , 1室1厅 ,49.71,383.0,86.0, 11个月以前发布,455.0,91531.0,东城,"116.435236,39.90518"
新景家园东区 2室1厅 830万,新景家园东区 , 2室1厅 ,80.46,54.0,38.0, 16天以前发布,830.0,103157.0,东城,"116.432142,39.902354"
青年湖东里 2室1厅 720万,青年湖东里 , 2室1厅 ,63.79,100.0,53.0, 6个月以前发布,720.0,112871.0,东城,"116.413053,39.962564"
小黄庄一区 98年建成 双南向 采光好 ,小黄庄一区 , 1室1厅 ,95.28,22.0,47.0, 11天以前发布,950.0,99707.0,东城,"116.416187,39.969551"
文津世家 3室2厅 1800万,文津世家 , 3室2厅 ,160.0,73.0,8.0, 25天以前发布,1800.0,112500.0,东城,"116.420268,39.949318"
歌剧院家属楼，双南向两居室，采光好。,东中街 , 2室1厅 ,62.56,17.0,17.0, 13天以前发布,690.0,110295.0,东城,"116.443175,39.941889"
北官厅胡同2号院 1室1厅 540万,北官厅胡同2号院 , 1室1厅 ,41.63,38.0,17.0, 12天以前发布,540.0,129715.0,东城,"116.434147,39.953592"
海晟国际公寓 1室0厅 530万,海晟国际公寓 , 1室0厅 ,46.48,27.0,13.0, 11天以前发布,530.0,114028.0,东城,"116.448623,39.945062"
东直门内北小街8号院 2室1厅 850万,东直门内北小街8号院 , 2室1厅 ,83.87,28.0,41.0, 1个月以前发布,850.0,101348.0,东城,"116.432388,39.95399"
花市小学 本家润园三期 高楼层 不临街 满五年,本家润园三期 , 2室1厅 ,64.54,58.0,51.0, 1个月以前发布,610.0,94516.0,东城,"116.44366,39.903303"
琉璃井东街  南北两居室  户型方正 无遮挡,琉璃井东街 , 2室1厅 ,57.24,106.0,30.0, 1个月以前发布,450.0,78617.0,东城,"116.41658,39.87503"
东城天天家园两居 中间层电梯直达 视野好,天天家园 , 2室1厅 ,106.6,107.0,13.0, 20天以前发布,650.0,60976.0,东城,"116.411885,39.87098"
东直门内大街 南向一居室 楼层高 视野开阔 阳光充足 ,东直门内大街 , 1室1厅 ,60.01,82.0,6.0, 23天以前发布,660.0,109982.0,东城,"116.435511,39.946194"
前门东大街 南北通透三居 户型方正 无浪费 采光好,前门东大街 , 3室0厅 ,70.0,125.0,16.0, 30天以前发布,605.0,86429.0,东城,"116.416214,39.906904"
中间楼层，近协和医院，南北两居室，东单，灯市口,西总布胡同55号院 , 2室1厅 ,54.86,70.0,19.0, 21天以前发布,585.0,106636.0,东城,"116.426157,39.918525"
培新街乙5号院 东西通透两居 精装修 税费低,培新街乙5号院 , 2室1厅 ,69.03,24.0,12.0, 17天以前发布,750.0,108649.0,东城,"116.439371,39.896367"
东直门民安小区南北通透三居室出售无遮挡随时签约,民安小区东直门内北小街 , 3室1厅 ,97.14,83.0,13.0, 19天以前发布,1150.0,118386.0,东城,"116.432862,39.948968"
法华南里 1室1厅 440万,法华南里 , 1室1厅 ,42.91,78.0,14.0, 26天以前发布,440.0,102541.0,东城,"116.434144,39.892211"
东城北二环 商品房小区 人车分流 高层两居室无遮挡 ,巷上嘉园 , 2室1厅 ,103.37,28.0,4.0, 14天以前发布,1185.0,114637.0,东城,"116.406466,39.957716"
北竹杆胡同 2室1厅 800万,北竹杆胡同 , 2室1厅 ,76.76,11.0,3.0, 6天以前发布,800.0,104221.0,东城,"116.435282,39.929418"
北二环一一东城安定门一一复式结构经典房,京宝花园 , 2室1厅 ,162.24,15.0,35.0, 21天以前发布,1050.0,64719.0,东城,"116.414015,39.959857"
西向 两居室 视野好  商品房 高层,丽水湾畔家园 , 2室1厅 ,130.0,18.0,14.0, 1个月以前发布,1100.0,84616.0,东城,"116.449403,39.900818"
封闭式小区，商品房社区，观花园，只要契税,新景家园西区 , 2室1厅 ,92.75,29.0,27.0, 1个月以前发布,920.0,99192.0,东城,"116.428467,39.902511"
东革新里 40号院 南北 2居室 采光好,东革新里40号院 , 2室1厅 ,58.03,128.0,34.0, 1个月以前发布,395.0,68069.0,东城,"116.403511,39.872127"
民旺园2居室 户型好 视野好 不临街,民旺园 , 2室1厅 ,47.84,112.0,38.0, 4个月以前发布,550.0,114967.0,东城,"116.43343,39.958449"
二环内南北通透三居室、地铁房、,新景家园西区 , 3室1厅 ,91.06,108.0,25.0, 6个月以前发布,960.0,105425.0,东城,"116.428467,39.902511"
六铺炕 2室1厅 599万,六铺炕 , 2室1厅 ,50.34,123.0,48.0, 1个月以前发布,599.0,118991.0,东城,"116.400533,39.962226"
东大街小户型，推荐婚房，全天采光，无遮挡,崇文门东大街 , 1室1厅 ,40.2,20.0,11.0, 27天以前发布,460.0,114428.0,东城,"116.433321,39.906309"
法华南里 中间楼层  东向一居室 全明格局,法华南里 , 1室1厅 ,45.52,24.0,16.0, 22天以前发布,450.0,98858.0,东城,"116.434144,39.892211"
万国城MOMA 3室1厅 1590万,万国城MOMA , 3室1厅 ,140.06,15.0,2.0, 19天以前发布,1590.0,113523.0,东城,"116.444857,39.954789"
东直门民安小区全东向四居复式，满五年 安静舒适,民安小区东直门内北小街 , 4室2厅 ,142.18,34.0,3.0, 16天以前发布,1200.0,84401.0,东城,"116.432862,39.948968"
广渠门内大街 3室1厅 581万,广渠门内大街 , 3室1厅 ,70.0,8.0,3.0, 11天以前发布,581.0,83000.0,东城,"116.448316,39.900192"
民安小区东直门北中街 2室1厅 820万,民安小区东直门北中街 , 2室1厅 ,71.49,48.0,13.0, 12天以前发布,820.0,114702.0,东城,"116.435611,39.948432"
东城南北通透三居室 和平里四小划片,民旺园 , 3室1厅 ,66.0,46.0,8.0, 10天以前发布,718.0,108788.0,东城,"116.43343,39.958449"
九三学园 精装全明三居 南北通透楼龄新 满五税费少,小黄庄二区 , 3室1厅 ,72.39,53.0,7.0, 9天以前发布,700.0,96699.0,东城,"116.417993,39.970747"
地兴居 3室1厅 650万,地兴居 , 3室1厅 ,65.47,20.0,8.0, 8天以前发布,650.0,99283.0,东城,"116.407787,39.957288"
龙潭公园 两室一厅 满五年 楼层高 视野好,左安漪园 , 2室1厅 ,83.34,92.0,54.0, 7个月以前发布,780.0,93593.0,东城,"116.4471,39.879796"
东城区、免个税、大四居、高层观景房。,美惠大厦 , 4室2厅 ,253.03,15.0,25.0, 1个月以前发布,1650.0,65210.0,东城,"116.444157,39.935985"
中间楼层 西南北三居室 免个税,南水关 , 3室1厅 ,102.09,62.0,45.0, 3个月以前发布,900.0,88158.0,东城,"116.447436,39.897461"
万国城MOMA，方正户型，东向三居室,万国城MOMA , 3室2厅 ,158.29,22.0,32.0, 18天以前发布,1600.0,101081.0,东城,"116.444857,39.954789"
 地铁七号线  业主诚心出售  高楼层 视野好,金世纪嘉园 , 2室1厅 ,116.89,81.0,63.0, 3个月以前发布,950.0,81273.0,东城,"116.4515,39.904606"
绿景馨园 3室1厅 850万,绿景馨园 , 3室1厅 ,81.9,137.0,33.0, 1个月以前发布,850.0,103786.0,东城,"116.447756,39.896508"
满五年免个税 正规南北三居室 精装修,幸福南里 , 3室1厅 ,66.0,57.0,31.0, 3个月以前发布,680.0,103031.0,东城,"116.438842,39.89084"
南北通两居室，中高楼层，采光视野没有遮挡。,大方家胡同 , 2室1厅 ,76.42,65.0,32.0, 4个月以前发布,790.0,103377.0,东城,"116.435132,39.92546"
富贵园商品三居室 南北通透 满五年 有车位 带储藏室,富贵园一区 , 3室2厅 ,144.45,82.0,38.0, 1个月以前发布,1650.0,114227.0,东城,"116.440069,39.902423"
小黄庄一区+南北通透+满五年公房,小黄庄一区 , 2室1厅 ,59.01,38.0,65.0, 15天以前发布,620.0,105067.0,东城,"116.416187,39.969551"
阳照胡同 低楼层南北两居室 带租赁车位 独立小院,阳照胡同 , 2室1厅 ,60.06,9.0,0.0, 7天以前发布,450.0,74926.0,东城,"116.435212,39.919736"
培新小学，中高层，对花园，2008年商品房,北京上舍 , 1室0厅 ,61.2,40.0,82.0, 3个月以前发布,580.0,94772.0,东城,"116.442558,39.897106"
东中街 商品房 复式结构 史家实验小学  满五年,东中街 , 4室1厅 ,200.77,146.0,50.0, 2个月以前发布,1770.0,88161.0,东城,"116.443175,39.941889"
雍和家园 东南三居 采光好 视野好 交通便利,雍和家园一期 , 3室2厅 ,158.38,29.0,4.0, 27天以前发布,1620.0,102286.0,东城,"116.426255,39.956607"
商品房大复式户型方正，地下温泉入户,花市枣苑一期 , 3室2厅 ,189.41,19.0,18.0, 一年前发布,1800.0,95032.0,东城,"116.435751,39.902151"
兴化西里南北三居，满五年税费少，诚心出售,兴化西里 , 3室1厅 ,71.68,59.0,14.0, 1个月以前发布,438.0,61105.0,东城,"116.417203,39.966191"
新上花市枣苑 西北对花园两居 精装修,花市枣苑三期 , 2室2厅 ,102.02,23.0,27.0, 2个月以前发布,1100.0,107822.0,东城,"116.435751,39.902151"
满五年住房 精装修可以直接入住 室内3米挑高,东直门内大街 , 2室2厅 ,80.52,197.0,36.0, 2个月以前发布,880.0,109290.0,东城,"116.435511,39.946194"
大复式  阳光房  精装修  景山学校,民安小区民安街 , 3室2厅 ,110.16,52.0,13.0, 1个月以前发布,1380.0,125273.0,东城,"116.437676,39.950331"
史家小学 满五年 小两居  电梯楼高层  金宝街上,朝阳门南小街 , 2室1厅 ,63.76,90.0,26.0, 2个月以前发布,760.0,119197.0,东城,"116.433451,39.923705"
灯市口，东单，邻近协和医院，中间楼层，东南向三居室,西总布胡同55号院 , 3室1厅 ,66.58,90.0,24.0, 4个月以前发布,750.0,112647.0,东城,"116.426157,39.918525"
东城区 悠胜美苑  45平复式 三居室 看房方便 随时签约,悠胜美苑 , 1室1厅 ,44.31,31.0,10.0, 24天以前发布,550.0,124126.0,东城,"116.400105,39.869503"
新世界家园 3室2厅 1580万,新世界家园 , 3室2厅 ,129.63,11.0,9.0, 27天以前发布,1580.0,121886.0,东城,"116.423741,39.90101"
海晟名苑 2室1厅 1430万,海晟名苑 , 2室1厅 ,119.37,8.0,8.0, 20天以前发布,1430.0,119796.0,东城,"116.447783,39.94387"
新怡家园 南向一居室 高楼层 采光充足,新怡家园 , 1室1厅 ,83.69,14.0,12.0, 18天以前发布,1150.0,137412.0,东城,"116.421081,39.904828"
金世纪嘉园 西南北一居  无遮挡,金世纪嘉园 , 1室1厅 ,66.91,21.0,9.0, 21天以前发布,590.0,88179.0,东城,"116.4515,39.904606"
安外大街 2室1厅 560万,安外大街 , 2室1厅 ,68.23,33.0,18.0, 20天以前发布,560.0,82076.0,东城,"116.414549,39.97239"
国瑞城中区 紧靠商品房小区 西北两居室,国瑞城中区 , 2室1厅 ,84.06,3.0,14.0, 19天以前发布,810.0,96360.0,东城,"116.429352,39.904538"
东环居苑 1室1厅 620万,东环居苑 , 1室1厅 ,65.08,28.0,15.0, 17天以前发布,620.0,95268.0,东城,"116.45208,39.904622"
远洋德邑 1室1厅 600万,远洋德邑 , 1室1厅 ,60.36,50.0,6.0, 17天以前发布,600.0,99404.0,东城,"116.452901,39.901073"
景山学校划片 全南向复式可改三居 满五年 精装修,东直门内大街 , 2室2厅 ,110.1,21.0,9.0, 17天以前发布,1250.0,113534.0,东城,"116.435511,39.946194"
满五年北京家庭只有这一套房子，高楼层无遮挡，精装修,永定门东街中里 , 2室0厅 ,49.35,114.0,10.0, 26天以前发布,385.0,78015.0,东城,"116.41449,39.879802"
桃园南街10号院 2室1厅 460万,桃园南街10号院 , 2室1厅 ,61.66,48.0,6.0, 16天以前发布,460.0,74603.0,东城,"116.407316,39.876396"
东直门华冠丽景 南通通透三居 交通便利 ,华冠丽景 , 3室2厅 ,144.75,40.0,5.0, 14天以前发布,1875.0,129534.0,东城,"116.432937,39.951953"
上龙西里 1室1厅 700万,上龙西里 , 1室1厅 ,54.96,10.0,2.0, 7天以前发布,700.0,127366.0,东城,"116.412788,39.958761"
西营房 3室1厅 850万,西营房 , 3室1厅 ,102.41,48.0,1.0, 10天以前发布,850.0,83000.0,东城,"116.409688,39.958188"
富贵园一区 1室1厅 720万,富贵园一区 , 1室1厅 ,63.18,16.0,2.0, 9天以前发布,720.0,113961.0,东城,"116.440069,39.902423"
东直门    东中街   南北两居室 低楼层,东中街 , 2室1厅 ,68.27,15.0,3.0, 8天以前发布,800.0,117182.0,东城,"116.443175,39.941889"
和平里一区 2室1厅 490万,和平里一区 , 2室1厅 ,43.63,32.0,3.0, 4天以前发布,490.0,112309.0,东城,"116.426526,39.964952"
景泰嘉园 3室1厅 740万,景泰嘉园 , 3室1厅 ,108.75,42.0,1.0, 8天以前发布,740.0,68046.0,东城,"116.419009,39.87095"
花市枣苑三期 1室0厅 530万,花市枣苑三期 , 1室0厅 ,45.53,30.0,27.0, 3个月以前发布,530.0,116407.0,东城,"116.435751,39.902151"
东堂子胡同 3室0厅 600万,东堂子胡同 , 3室0厅 ,65.67,68.0,51.0, 30天以前发布,600.0,91366.0,东城,"116.430787,39.920829"
东直门民安小区西向两居室复式可改三居,民安小区东羊管胡同 , 2室2厅 ,109.01,33.0,55.0, 18天以前发布,1100.0,100909.0,东城,"116.437841,39.948704"
左安浦园 2室1厅 575万,左安浦园 , 2室1厅 ,82.29,228.0,40.0, 8个月以前发布,575.0,69875.0,东城,"116.444673,39.880008"
交通便利 南向 高层两居 无遮挡 采光好,西营房 , 2室1厅 ,86.2,174.0,31.0, 2个月以前发布,830.0,96288.0,东城,"116.409688,39.958188"
文汇小学 南北通透 格局方正 双卫设计,京城仁合 , 2室2厅 ,114.51,85.0,42.0, 3个月以前发布,1100.0,96062.0,东城,"116.44905,39.903129"
东城区房源 西南向三居 两间卧室朝南户型好,建予园 , 3室1厅 ,111.99,255.0,55.0, 5个月以前发布,670.0,59827.0,东城,"116.402567,39.869745"
人定湖公园=塔楼24小时电梯=小区安静人员素质高,安德里北街25号院 , 3室1厅 ,81.9,114.0,48.0, 6个月以前发布,820.0,100123.0,东城,"116.394978,39.963326"
东华门大街 东西通透 全明格局两居室,东华门大街 , 2室1厅 ,60.3,137.0,26.0, 1个月以前发布,640.0,106136.0,东城,"116.411331,39.92122"
金鱼池下跃四居 天坛商圈 有车位 精装自住诚售,金鱼池西区 , 4室2厅 ,117.0,229.0,23.0, 3个月以前发布,878.0,75043.0,东城,"116.413838,39.895714"
富贵园四区 3室2厅 1550万,富贵园四区 , 3室2厅 ,140.55,41.0,26.0, 1个月以前发布,1550.0,110282.0,东城,"116.441193,39.900437"
和平里七区 1室1厅 490万,和平里七区 , 1室1厅 ,42.5,46.0,15.0, 10天以前发布,490.0,115295.0,东城,"116.427853,39.966824"
东直门十字坡西里，双南向高层小两居,十字坡西里 , 2室1厅 ,53.05,17.0,6.0, 10天以前发布,583.0,109897.0,东城,"116.443423,39.945679"
当代万国城  南北通透三居  私梯入户,万国城MOMA , 3室2厅 ,225.04,42.0,18.0, 2个月以前发布,2470.0,109759.0,东城,"116.444857,39.954789"
商品房社区西北小两居带产权车位,本家润园一期 , 2室1厅 ,83.05,86.0,65.0, 4个月以前发布,945.0,113787.0,东城,"116.443355,39.90268"
南北通透三居室，满五年，家庭仅此一套 明厨明卫,富贵园一区 , 3室2厅 ,161.16,26.0,15.0, 2个月以前发布,1900.0,117896.0,东城,"116.440069,39.902423"
光明楼南北通透两居 采光充足 户型方正,光明楼 , 2室1厅 ,64.8,171.0,38.0, 3个月以前发布,513.0,79167.0,东城,"116.444721,39.890475"
东城区东南朝向两居 业主自住 诚意出售,建予园 , 2室1厅 ,77.79,184.0,62.0, 4个月以前发布,510.0,65562.0,东城,"116.402567,39.869745"
和平里七区 南北通透 中间楼层 采光好无遮挡,和平里七区 , 2室1厅 ,60.59,126.0,52.0, 2个月以前发布,600.0,99027.0,东城,"116.427853,39.966824"
南北通透四居复式，客厅宽敞明亮，业主诚心出售,南弓匠营胡同 , 4室2厅 ,116.37,59.0,14.0, 28天以前发布,1300.0,111713.0,东城,"116.434583,39.931714"
枣苑商品房西北三居，满五年低税费，崇文小学,花市枣苑一期 , 3室2厅 ,135.72,22.0,6.0, 7个月以前发布,1250.0,92102.0,东城,"116.435751,39.902151"
金世纪嘉园小区，西南两居室，楼层好，无遮挡,金世纪嘉园 , 2室2厅 ,112.0,138.0,38.0, 4个月以前发布,920.0,82143.0,东城,"116.4515,39.904606"
和平里二区 东向两居室 有地下停车位 ,和平里二区 , 2室1厅 ,90.16,164.0,36.0, 2个月以前发布,836.0,92725.0,东城,"116.429963,39.963815"
民安小区  景山北校 东西通透两居室 带电梯 交通方便,民安小区东直门北中街 , 2室1厅 ,77.97,102.0,18.0, 1个月以前发布,735.0,94268.0,东城,"116.435611,39.948432"
冠城名敦道 西南向大开间  光明小学 地铁7号线,冠城名敦道 , 1室0厅 ,83.36,245.0,54.0, 8个月以前发布,565.0,67779.0,东城,"116.453086,39.898397"
富贵园一区 3室2厅 1580万,富贵园一区 , 3室2厅 ,141.54,56.0,19.0, 1个月以前发布,1580.0,111630.0,东城,"116.440069,39.902423"
林业局央产房 提前联系 随时可看 产权清晰 随时可签约,和平里七区 , 3室1厅 ,88.67,44.0,17.0, 1个月以前发布,931.0,104997.0,东城,"116.427853,39.966824"
安定门宝钞苑社区 电梯直达南北三居室 卫生间带窗户,宝钞苑 , 3室2厅 ,197.0,80.0,19.0, 1个月以前发布,1960.0,99493.0,东城,"116.405364,39.954234"
东西通透两居室  配套齐全 满五年 税费少  采光好,朗家胡同13号院 , 2室1厅 ,54.5,15.0,7.0, 1个月以前发布,600.0,110092.0,东城,"116.408184,39.953334"
东环居苑正规南向一居室+户型方正+精装修+采光充足,东环居苑 , 1室1厅 ,62.35,51.0,15.0, 1个月以前发布,620.0,99439.0,东城,"116.45208,39.904622"
海运仓小区 板楼南北通透2居 优质2居中间楼层  ,海运仓小区 , 2室1厅 ,64.82,278.0,34.0, 1个月以前发布,700.0,107992.0,东城,"116.435055,39.941656"
世纪大厦 2室1厅 510万,世纪大厦 , 2室1厅 ,100.38,70.0,14.0, 1个月以前发布,510.0,50807.0,东城,"116.417107,39.925266"
和平新城 户型好 不临街 有电梯,和平新城一期 , 2室1厅 ,122.76,25.0,16.0, 1个月以前发布,1350.0,109971.0,东城,"116.432835,39.957774"
东城区 永合馨苑 南北通透两居室 诚心出售 只有契税,永合馨苑 , 2室1厅 ,118.0,36.0,4.0, 29天以前发布,699.0,59238.0,东城,"116.403631,39.869863"
安化南里 2室1厅 860万,安化南里 , 2室1厅 ,81.44,12.0,1.0, 24天以前发布,860.0,105600.0,东城,"116.441521,39.895226"
中海紫御东北向一居室 高层开发商精装修可观花园,中海紫御公馆 , 1室2厅 ,61.48,68.0,3.0, 27天以前发布,630.0,102473.0,东城,"116.399108,39.876842"
东城区 甘水桥小区 精装修 双东向 两居室 ,甘水桥 , 2室1厅 ,58.79,55.0,1.0, 28天以前发布,568.0,96616.0,东城,"116.415072,39.968084"
东城区 二环里 左安溪园  4室2厅3卫,左安溪园 , 4室2厅 ,258.1,61.0,5.0, 2个月以前发布,2300.0,89113.0,东城,"116.444673,39.881316"
国瑞城西区 2室2厅 1180万,国瑞城西区 , 2室2厅 ,147.0,57.0,23.0, 7个月以前发布,1180.0,80273.0,东城,"116.425856,39.90406"
金鱼池南北通透复式四居 纵览天坛 视野开阔 诚心出售,金鱼池西区 , 4室2厅 ,111.22,53.0,4.0, 1个月以前发布,910.0,81820.0,东城,"116.413838,39.895714"
左安浦园 2室1厅 695万,左安浦园 , 2室1厅 ,92.23,114.0,25.0, 1个月以前发布,695.0,75356.0,东城,"116.444673,39.880008"
国瑞城正规两居室，户型方正，朝向东,国瑞城中区 , 2室1厅 ,69.96,107.0,22.0, 1个月以前发布,710.0,101487.0,东城,"116.429352,39.904538"
幸福家园满五年住房 精装修 对天坛祈年殿 视野开阔,幸福家园三期 , 3室1厅 ,129.13,57.0,21.0, 2个月以前发布,1420.0,109967.0,东城,"116.437705,39.898038"
崇文门西大街 视野开阔 2居室，有钥匙,崇文门西大街 , 2室1厅 ,53.46,8.0,2.0, 16天以前发布,540.0,101011.0,东城,"116.420117,39.907532"
金世纪嘉园   一居室   精装修  ,金世纪嘉园 , 1室1厅 ,65.6,21.0,6.0, 21天以前发布,660.0,100610.0,东城,"116.4515,39.904606"
砖角楼北里 2室1厅 398万,砖角楼北里 , 2室1厅 ,47.16,39.0,6.0, 18天以前发布,398.0,84394.0,东城,"116.43581,39.962757"
安定门  三秀涵雅  商品房  全南精装2居室  诚意出售,三秀涵雅 , 2室1厅 ,97.08,28.0,10.0, 19天以前发布,1030.0,106099.0,东城,"116.41305,39.963793"
小黄庄 2室1厅 395万,小黄庄 , 2室1厅 ,46.88,164.0,9.0, 23天以前发布,395.0,84258.0,东城,"116.41592,39.969527"
